127.0.0.1 - - [23/Mar/2023:21:28:53 +0700] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:11 +0700] "GET /templates/admin/dist/js/demo.js HTTP/1.1" 200 22628
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:11 +0700] "GET /templates/admin/dist/js/pages/dashboard2.js HTTP/1.1" 200 6299
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:12 +0700] "GET /templates/admin/dist/img/avatar5.png HTTP/1.1" 200 7587
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:12 +0700] "GET /templates/admin/dist/img/AdminLTELogo.png HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:13 +0700] "GET /templates/admin/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78268
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:25 +0700] "GET /logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:25 +0700] "GET /login HTTP/1.1" 200 5346
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:25 +0700] "GET /templates/auth/bootstrap/css/bootstrap.min.css%3E HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:25 +0700] "GET /templates/auth/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:31 +0700] "POST /j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:31 +0700] "GET /user/index HTTP/1.1" 200 16491
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:31 +0700] "GET /templates/user/assets/css/bootstrap.css HTTP/1.1" 200 127343
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:31 +0700] "GET /templates/user/assets/style.css HTTP/1.1" 200 7801
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:31 +0700] "GET /templates/user/assets/js/bootstrap.min.js HTTP/1.1" 200 28631
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:31 +0700] "GET /templates/user/assets/js/jquery.easing-1.3.min.js HTTP/1.1" 200 3436
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:31 +0700] "GET /templates/user/assets/font-awesome/css/font-awesome.css HTTP/1.1" 200 27232
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:31 +0700] "GET /templates/user/assets/js/jquery.js HTTP/1.1" 200 94839
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:31 +0700] "GET /templates/user/assets/js/jquery.scrollTo-1.4.3.1-min.js HTTP/1.1" 200 2434
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:31 +0700] "GET /templates/user/assets/js/shop.js HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:31 +0700] "GET /templates/user/assets/img/paypal.jpg HTTP/1.1" 200 28395
